m,n,minGiftSolvercmax,openGiftSolvercmax,meanGiftSolvercmax,closedGiftSolvercmax,maxGiftSolvercmax,minDistributedGiftSolvercmax,openDistributedGiftSolvercmax,meanDistributedGiftSolvercmax,closedDistributedGiftSolvercmax,maxDistributedGiftSolvercmax,minSwapSolvercmax,openSwapSolvercmax,meanSwapSolvercmax,closedSwapSolvercmax,maxSwapSolvercmax,minDistributedSwapSolvercmax,openDistributedSwapSolvercmax,meanDistributedSwapSolvercmax,closedDistributedSwapSolvercmax,maxDistributedSwapSolvercmax,minLpSolvercmax,openLpSolvercmax,meanLpSolvercmax,closedLpSolvercmax,maxLpSolvercmax,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
2,10,1444.0,1917.0,2298.0,2557.0,3225.0,1368.0,1763.0,2161.0,2603.0,3083.0,1007.0,1458.0,1869.0,2333.0,2657.0,1149.0,1814.0,2163.0,2539.0,3163.0,1697.0,2459.0,2751.0,3104.0,4008.0,256399.0,410188.0,620485.0,981094.0,7045839.0,1262468.0,1.4778817E7,2.8314214E7,3.190068E7,5.9125653E7,303558.0,1026696.0,2248800.0,3113021.0,8965020.0,720892.0,3829500.0,2.6853883E7,2.9338548E7,6.1683282E7,1.0105314E7,2.4945253E7,3.3547343E7,3.5828094E7,5.8651019E7,242723.0,462762.0,681976.0,960759.0,5822678.0,258899.0,428696.0,487297.0,428696.0,5212874.0,1.7,2.6,1.8,4.85,0.0,3.2,1.65,0.75,2.45,0.0,0.0,4.05,1.55,2.35,1.65,0.45,1.1,0.8,0.0
4,20,1026.0,1446.0,1585.0,1811.0,2058.0,894.0,1391.0,1604.0,1776.0,2198.0,835.0,1054.0,1279.0,1398.0,1607.0,889.0,1273.0,1431.0,1735.0,1923.0,2344.0,3033.0,3298.0,3527.0,4220.0,474351.0,982391.0,1278425.0,1895439.0,3649222.0,1010803.0,2.1243383E7,2.8790823E7,3.0674601E7,6.3027869E7,2342742.0,5039444.0,5987768.0,8831820.0,1.4549894E7,1699933.0,2.3915133E7,2.6503347E7,3.1179631E7,1.1734653E8,1.6583353E7,2.9062718E7,3.7142953E7,5.1369912E7,1.47249903E8,254462.0,396431.0,506306.0,850441.0,1695749.0,174892.0,245675.0,274532.0,245675.0,701022.0,12.05,14.05,7.55,23.2,0.0,16.95,6.2,1.4,15.55,0.0,0.0,18.75,4.9,12.65,5.95,1.0,7.7,3.9,0.0
6,30,738.0,960.0,1251.0,1436.0,1713.0,901.0,1061.0,1236.0,1412.0,1986.0,688.0,834.0,908.0,986.0,1172.0,852.0,1031.0,1157.0,1371.0,1612.0,2698.0,3324.0,3743.0,4030.0,4612.0,1983768.0,2908445.0,3564407.0,4694162.0,1.0914647E7,1384831.0,3.0282637E7,3.1659774E7,5.698538E7,8.5954132E7,1.1092048E7,1.3993155E7,1.6815419E7,3.0162907E7,7.0494904E7,2215636.0,2.7033404E7,2.9175475E7,5.8052198E7,1.46580125E8,2.1886623E7,5.8692146E7,7.5927878E7,1.82082396E8,6.25333088E8,287358.0,374422.0,777912.0,1189572.0,1388886.0,160645.0,242593.0,287836.0,242593.0,1190995.0,25.8,29.35,13.2,48.7,0.0,32.5,16.2,2.85,29.65,0.0,0.0,41.6,10.3,29.45,11.95,2.75,18.5,8.1,0.0
8,40,686.0,936.0,1117.0,1215.0,1605.0,666.0,992.0,1133.0,1315.0,1421.0,611.0,687.0,782.0,857.0,993.0,597.0,831.0,1008.0,1124.0,1269.0,3005.0,3625.0,3854.0,4515.0,5468.0,3880349.0,5174815.0,5659898.0,7388723.0,8000357.0,2.8759363E7,5.2014624E7,6.3787662E7,1.19259794E8,1.44363308E8,2.2677417E7,3.1323654E7,3.3020326E7,3.5159617E7,4.9620755E7,3790473.0,3.0715635E7,3.4214914E7,6.6845814E7,1.23851808E8,4.6247031E7,7.9054289E7,9.8843413E7,1.3734862E8,1.59236713E8,281957.0,676850.0,907191.0,1016899.0,1985538.0,159797.0,177839.0,203105.0,177839.0,299977.0,44.45,47.4,19.35,98.25,0.0,65.7,32.55,8.6,57.1,0.0,0.0,75.6,17.05,52.5,22.85,3.95,34.1,14.45,0.0
10,50,597.0,722.0,829.0,946.0,1159.0,656.0,767.0,888.0,976.0,1140.0,526.0,578.0,612.0,660.0,758.0,623.0,674.0,774.0,811.0,958.0,2992.0,3737.0,4083.0,4432.0,5978.0,6775258.0,9451478.0,1.1580531E7,1.3589683E7,1.7312937E7,5.2730101E7,5.9963451E7,8.9261376E7,1.19323417E8,1.79984108E8,4.6753944E7,5.4859251E7,6.1189557E7,6.6563257E7,7.2400469E7,2.5893009E7,4.1867971E7,6.4490432E7,9.540439E7,1.79411781E8,5.9581797E7,1.20134499E8,1.44543605E8,1.58096318E8,1.79446228E8,417753.0,831798.0,1029533.0,1173423.0,1506246.0,163151.0,195546.0,218900.0,195546.0,272886.0,67.0,68.0,25.4,143.0,0.0,95.85,46.85,12.8,83.0,0.0,0.0,127.35,25.15,89.75,37.6,6.9,61.4,21.45,0.0
12,60,469.0,608.0,657.0,793.0,1015.0,512.0,632.0,687.0,746.0,987.0,414.0,476.0,503.0,602.0,656.0,473.0,589.0,621.0,780.0,915.0,3349.0,3982.0,4369.0,4833.0,6020.0,1.386473E7,1.6913465E7,2.0067911E7,2.2658639E7,3.1285687E7,2.7098412E7,8.2640481E7,9.9110556E7,1.30155195E8,2.27192241E8,8.393452E7,9.4148314E7,1.03157752E8,1.22430743E8,1.42317752E8,2.1150638E7,7.5320235E7,1.01290185E8,1.29953465E8,2.43650151E8,3.1121944E7,1.40140645E8,1.82927099E8,2.18235733E8,3.03400241E8,830195.0,1050462.0,1127715.0,1276777.0,1443295.0,181456.0,195235.0,211586.0,195235.0,309820.0,91.95,89.65,32.2,209.65,0.0,134.4,75.2,16.7,117.6,0.0,0.0,184.55,32.5,126.05,58.5,10.5,87.45,28.1,0.0
14,70,409.0,493.0,595.0,658.0,807.0,526.0,610.0,644.0,700.0,776.0,386.0,422.0,460.0,508.0,599.0,464.0,497.0,539.0,584.0,683.0,3161.0,3977.0,4344.0,4785.0,5337.0,2.3025819E7,2.8323099E7,3.1183653E7,3.5163918E7,5.0069562E7,3.455253E7,1.08620904E8,1.49891997E8,1.89937575E8,3.18383025E8,1.28106836E8,1.55835595E8,1.73372103E8,1.99769035E8,2.32829403E8,4.1666141E7,1.03352742E8,1.19273626E8,1.59612233E8,2.66101518E8,9.4056632E7,1.90939764E8,1.98671236E8,2.64946622E8,3.903389E8,533739.0,744349.0,932130.0,1452012.0,1787038.0,177824.0,207931.0,226126.0,207931.0,300465.0,118.1,113.95,36.3,289.85,0.0,175.85,114.0,25.45,150.4,0.0,0.0,236.0,37.1,162.8,73.2,15.1,115.35,32.35,0.0
16,80,357.0,488.0,544.0,638.0,831.0,361.0,489.0,583.0,632.0,782.0,338.0,415.0,449.0,500.0,516.0,382.0,466.0,513.0,553.0,757.0,3625.0,3992.0,4237.0,4663.0,5804.0,3.6071767E7,4.5466432E7,5.4597572E7,5.8253571E7,7.4228931E7,5.9601351E7,1.25705204E8,1.54669216E8,2.38727948E8,3.97149589E8,1.90453836E8,2.3731237E8,2.48328033E8,2.69781443E8,3.09600259E8,8.6621551E7,1.3574689E8,1.86226693E8,2.12116094E8,6.50868084E8,1.51720414E8,2.29031397E8,2.90101644E8,3.46024505E8,5.53713022E8,717352.0,787150.0,942062.0,1267316.0,1695767.0,196655.0,206241.0,217887.0,206241.0,316000.0,153.6,130.3,41.7,354.75,0.0,224.1,130.65,31.5,192.6,0.0,0.0,329.1,48.65,213.9,114.95,28.6,145.85,39.45,0.0
18,90,294.0,394.0,467.0,531.0,588.0,411.0,475.0,534.0,598.0,647.0,305.0,353.0,385.0,409.0,443.0,359.0,420.0,465.0,516.0,583.0,3747.0,4275.0,4688.0,5113.0,5398.0,5.4370457E7,6.3565228E7,6.7047313E7,7.3410346E7,1.02122794E8,9.7655981E7,1.24309066E8,1.99049735E8,2.24003279E8,5.11975667E8,3.17921421E8,3.4952555E8,3.63709729E8,4.03562928E8,4.81006312E8,7.5962229E7,1.79239691E8,2.01319357E8,2.33233035E8,3.55825581E8,1.71062801E8,2.70551675E8,3.17824466E8,3.66880496E8,5.26548852E8,591232.0,686883.0,756940.0,957857.0,1231186.0,213184.0,227821.0,237148.0,227821.0,286113.0,169.6,161.15,47.55,438.0,0.0,264.65,173.35,41.05,223.6,0.0,0.0,402.2,53.8,260.1,142.0,28.85,187.75,43.45,0.0
20,100,282.0,375.0,398.0,468.0,531.0,378.0,411.0,493.0,531.0,571.0,285.0,332.0,361.0,389.0,467.0,330.0,384.0,428.0,460.0,608.0,3148.0,4127.0,4497.0,4922.0,6213.0,7.8191202E7,9.2263138E7,9.5817641E7,1.07762422E8,1.59007571E8,8.2862402E7,1.65784163E8,2.24480375E8,2.71845541E8,3.51734453E8,4.46749052E8,4.79571519E8,5.07757052E8,5.543401E8,6.82676071E8,9.6063929E7,1.17838889E8,1.61583944E8,1.9525616E8,4.98240043E8,2.11959502E8,3.60426366E8,4.58718797E8,7.79875467E8,2.964048741E9,682521.0,751605.0,824955.0,941449.0,1541160.0,242271.0,252639.0,259650.0,252639.0,327334.0,206.05,187.25,55.3,515.5,0.0,313.55,201.95,44.35,269.2,0.0,0.0,441.05,58.55,288.25,152.8,25.5,212.55,50.2,0.0
