m,n,minGiftSolvercmax,openGiftSolvercmax,meanGiftSolvercmax,closedGiftSolvercmax,maxGiftSolvercmax,minDistributedGiftSolvercmax,openDistributedGiftSolvercmax,meanDistributedGiftSolvercmax,closedDistributedGiftSolvercmax,maxDistributedGiftSolvercmax,minSwapSolvercmax,openSwapSolvercmax,meanSwapSolvercmax,closedSwapSolvercmax,maxSolvercmax,minLpSolvercmax,openLpSolvercmax,meanLpSolvercmax,closedLpSolvercmax,maxLpSolvercmax,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,dealGift,nbPropose,nbAccept,nbReject,nbWithdraw,nbConfirm,nbInform
2,20,2773.0,3939.0,4427.0,4871.0,5944.0,2276.0,3857.0,4405.0,4857.0,6641.0,2567.0,3524.0,3850.0,4431.0,5858.0,2870.0,5006.0,5637.0,6178.0,7822.0,100631.0,331454.0,526629.0,763000.0,7621505.0,2.1608167E7,2.7159833E7,3.0437282E7,5.6879287E7,9.4129362E7,1718010.0,2714766.0,4303940.0,7108917.0,1.3482555E7,1.7198783E7,3.6646812E7,4.996613E7,6.139481E7,1.27057103E8,169735.0,296767.0,461915.0,533012.0,1974774.0,128213.0,212336.0,360798.0,212336.0,4836707.0,2.9,6.71, 4.47, 1.32, 0.96, 3.96, 9.84
3,30,2648.0,3673.0,4091.0,4546.0,5653.0,2362.0,3171.0,3547.0,3915.0,5313.0,2244.0,3428.0,4088.0,4716.0,7555.0,4148.0,5469.0,5782.0,6339.0,8255.0,273970.0,1177232.0,1707223.0,2686601.0,7945729.0,2.2490105E7,5.9076295E7,9.0717553E7,1.46037366E8,3.82320049E8,1972184.0,5464363.0,8985483.0,1.3582052E7,4.0665462E7,1.8956346E7,5.3375132E7,6.7412495E7,7.7113311E7,2.65034698E8,141558.0,268266.0,462800.0,509702.0,747242.0,103537.0,134654.0,161268.0,134654.0,603886.0,9.99,29.14, 22.97, 4.03, 5.23, 18.08, 40.73
4,40,2086.0,3477.0,3887.0,4233.0,5571.0,1893.0,2618.0,2944.0,3309.0,5426.0,2462.0,4029.0,4631.0,5063.0,6519.0,4731.0,5634.0,6116.0,6726.0,8652.0,518462.0,3137699.0,4532051.0,6951550.0,3.0156356E7,2.5708499E7,1.18757602E8,1.80430032E8,2.65009469E8,5.98091728E8,3488984.0,8599687.0,1.4159198E7,1.9535024E7,4.9826715E7,3.2058055E7,6.7124889E7,7.9134423E7,9.4765885E7,4.26379571E8,160300.0,434130.0,467882.0,498103.0,689055.0,111671.0,127160.0,140019.0,127160.0,486934.0,18.34,79.29, 66.41, 9.35, 16.35, 47.64, 104.05
5,50,2478.0,3210.0,3564.0,4121.0,5672.0,1571.0,2213.0,2458.0,2661.0,3309.0,2999.0,4305.0,4698.0,5358.0,6786.0,4487.0,5773.0,6412.0,7040.0,9539.0,1864138.0,1.0243607E7,1.3872165E7,1.9173603E7,3.3961104E7,5.3141917E7,2.34878606E8,3.02027864E8,4.1625926E8,7.16277286E8,7514298.0,1.5873534E7,2.3178896E7,3.7869871E7,8.4577533E7,3.8026539E7,7.6393335E7,9.3070187E7,1.13477449E8,7.12434625E8,157096.0,495513.0,511305.0,550425.0,918171.0,124242.0,132042.0,137708.0,132042.0,271962.0,30.92,210.86, 167.67, 25.86, 46.23, 122.3, 258.99
6,60,2361.0,3292.0,3693.0,4366.0,7210.0,1463.0,1836.0,2053.0,2360.0,3026.0,3573.0,4774.0,5190.0,5567.0,6740.0,4938.0,5793.0,6213.0,6924.0,8282.0,1189618.0,1.41713E7,2.6998338E7,3.6060316E7,5.3451905E7,8.3981276E7,3.55975086E8,4.45610648E8,5.61300415E8,9.56190107E8,1.011205E7,2.289592E7,3.3023985E7,4.6425003E7,1.29987127E8,4.048398E7,9.1913062E7,1.19964411E8,1.6089801E8,2.40081205E8,167013.0,217840.0,248963.0,563539.0,753490.0,139467.0,144449.0,147565.0,144449.0,195855.0,36.07,378.84, 300.37, 41.4, 89.0, 208.05, 436.28
7,70,2491.0,3162.0,3835.0,4343.0,6000.0,1077.0,1617.0,1807.0,2049.0,2808.0,4037.0,4974.0,5478.0,5875.0,7518.0,5177.0,6180.0,6607.0,7382.0,8570.0,3265796.0,2.8591823E7,5.2653828E7,7.0170013E7,1.42999724E8,1.5238687E8,4.72130205E8,5.39476877E8,6.9038457E8,1.166531333E9,1.5623012E7,3.4770193E7,4.5993426E7,6.7932794E7,1.75880981E8,5.7118865E7,1.3679463E8,1.76109566E8,2.32560463E8,3.41433842E8,188139.0,203346.0,235130.0,251520.0,781964.0,153583.0,157096.0,160677.0,157096.0,243273.0,48.93,865.64, 665.7, 90.49, 222.12, 442.32, 918.07
8,80,2591.0,3488.0,4050.0,4567.0,7176.0,1125.0,1480.0,1584.0,1816.0,2596.0,4115.0,5337.0,5733.0,6313.0,7445.0,5412.0,6373.0,6804.0,7342.0,8676.0,5941977.0,4.4689649E7,6.5767613E7,9.7989937E7,2.22341968E8,3.51553996E8,6.31191424E8,7.51920259E8,8.93543991E8,1.616000469E9,3.0406287E7,4.7604518E7,6.0575917E7,7.4686458E7,2.0411884E8,7.3567944E7,2.1123832E8,2.83314469E8,3.22472641E8,6.44007883E8,211316.0,231677.0,247316.0,280759.0,1164633.0,166819.0,177325.0,181084.0,177325.0,217622.0,46.67,1555.84, 1210.2, 175.1, 366.11, 798.89, 1664.37
9,90,2615.0,3798.0,4296.0,4762.0,7754.0,1015.0,1326.0,1438.0,1565.0,2226.0,4658.0,5578.0,5913.0,6385.0,7540.0,5244.0,6554.0,6987.0,7699.0,9353.0,1.0609215E7,5.7094043E7,8.2485593E7,1.32996719E8,2.4243088E8,3.52488594E8,7.45806995E8,8.96121395E8,9.94901583E8,1.496483691E9,4.0067037E7,6.3618274E7,8.2394947E7,1.12611306E8,2.70331599E8,1.10695009E8,2.92503811E8,3.44110254E8,4.01008355E8,7.53470465E8,248906.0,271065.0,283382.0,332496.0,939908.0,193454.0,198234.0,201550.0,198234.0,222947.0,44.28,2112.13, 1592.54, 244.77, 532.39, 1023.76, 2113.2
10,100,2964.0,4141.0,4662.0,5152.0,6686.0,920.0,1220.0,1337.0,1440.0,1777.0,4512.0,5616.0,5981.0,6429.0,8474.0,5426.0,6627.0,7074.0,7770.0,8593.0,8406329.0,5.7303314E7,9.658388E7,1.37905117E8,5.08064774E8,5.05108048E8,8.75040989E8,1.074419249E9,1.199917005E9,1.592633923E9,4.918545E7,8.4391684E7,1.03601475E8,1.43227022E8,3.49271831E8,1.66879086E8,3.57258492E8,4.63051501E8,5.9509919E8,2.554197116E9,282893.0,317160.0,337668.0,908482.0,1063950.0,221434.0,226123.0,230487.0,226123.0,279728.0,39.08,2724.1, 1990.82, 300.94, 696.88, 1255.73, 2584.09
11,110,3127.0,4034.0,4550.0,5209.0,7364.0,877.0,1077.0,1189.0,1301.0,1672.0,4707.0,5729.0,6211.0,6731.0,7621.0,5736.0,6646.0,7176.0,7703.0,9912.0,1.3743625E7,8.2817299E7,1.45746663E8,2.4198551E8,4.33782821E8,7.21184652E8,1.134804096E9,1.259113899E9,1.468176138E9,1.973510296E9,7.7288982E7,1.09476262E8,1.31354551E8,1.61125654E8,3.08147708E8,2.02735711E8,4.33427403E8,5.63590643E8,7.92406647E8,4.761684259E9,338616.0,374532.0,471410.0,1099915.0,1494098.0,251011.0,254495.0,256831.0,254495.0,384246.0,44.24,4239.54, 3074.81, 506.64, 1095.47, 1921.57, 3963.86
