m,n,minGiftSolvercmax,openGiftSolvercmax,meanGiftSolvercmax,closedGiftSolvercmax,maxGiftSolvercmax,minDistributedGiftSolvercmax,openDistributedGiftSolvercmax,meanDistributedGiftSolvercmax,closedDistributedGiftSolvercmax,maxDistributedGiftSolvercmax,minSwapSolvercmax,openSwapSolvercmax,meanSwapSolvercmax,closedSwapSolvercmax,maxSwapSolvercmax,minDistributedSwapSolvercmax,openDistributedSwapSolvercmax,meanDistributedSwapSolvercmax,closedDistributedSwapSolvercmax,maxDistributedSwapSolvercmax,minLpSolvercmax,openLpSolvercmax,meanLpSolvercmax,closedLpSolvercmax,maxLpSolvercmax,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
2,10,103.0,163.0,195.0,239.0,287.0,103.0,168.0,195.0,239.0,287.0,103.0,160.0,183.0,198.0,261.0,103.0,160.0,195.0,238.0,287.0,115.0,179.0,201.0,239.0,293.0,518728.0,643560.0,910042.0,1426163.0,7750151.0,1805489.0,4004461.0,2.6711818E7,2.8511754E7,3.4704846E7,1218252.0,2052570.0,2575333.0,3447419.0,7375765.0,1829707.0,2.4961905E7,2.6004029E7,3.4359148E7,6.4204112E7,82847.0,143347.0,158762.0,380944.0,5655639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.3,0.7,2.5,0.0,0.4,2.1,0.0,0.4,0.0,0.0,2.7,0.5,0.7,1.95,0.15,0.4,0.15,0.0
4,20,96.0,109.0,126.0,154.0,174.0,96.0,109.0,126.0,154.0,174.0,82.0,108.0,121.0,142.0,154.0,100.0,109.0,126.0,154.0,174.0,100.0,123.0,144.0,159.0,188.0,385398.0,741428.0,1350283.0,1697035.0,3370680.0,1103119.0,2953102.0,2.2632153E7,2.9022455E7,3.2099754E7,1516144.0,3174139.0,5652134.0,7105192.0,8722041.0,4287947.0,2.4849766E7,2.5350163E7,2.6851579E7,5.7804616E7,74583.0,147826.0,208491.0,254265.0,824080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.8,2.1,5.8,0.0,1.65,4.15,0.05,1.6,0.0,0.0,5.7,0.9,1.8,3.9,0.45,1.05,0.3,0.0
6,30,67.0,84.0,96.0,111.0,133.0,67.0,84.0,96.0,108.0,133.0,68.0,82.0,89.0,96.0,121.0,72.0,84.0,94.0,111.0,135.0,81.0,98.0,113.0,123.0,152.0,1414928.0,2677148.0,4285552.0,4671252.0,5.1267234E7,1602783.0,2.3214163E7,2.594919E7,3.048383E7,3.3167435E7,6913640.0,9319770.0,9955078.0,1.2973609E7,1.5702051E7,2335114.0,2.4646166E7,2.5233764E7,2.7107901E7,3.2399121E7,192706.0,405745.0,461030.0,886772.0,2806687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,8.15,2.55,13.0,0.0,5.5,7.45,0.1,5.3,0.0,0.0,11.6,1.55,4.75,6.8,0.25,3.55,0.95,0.0
8,40,58.0,71.0,80.0,85.0,96.0,60.0,74.0,80.0,84.0,96.0,54.0,67.0,71.0,78.0,82.0,58.0,69.0,77.0,84.0,96.0,69.0,85.0,95.0,105.0,120.0,1899426.0,3688669.0,5184765.0,6585873.0,8872725.0,2245931.0,2.2981329E7,2.7458915E7,3.0485557E7,3.385902E7,8295572.0,1.5019591E7,1.9380756E7,2.3641027E7,4.2022962E7,2657866.0,2.3832639E7,2.5496422E7,2.6351208E7,3.3521871E7,223019.0,700118.0,724547.0,752245.0,1112047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,13.85,3.65,16.6,0.0,6.35,10.25,0.2,6.15,0.0,0.0,15.25,1.85,6.2,9.05,0.1,4.95,1.15,0.0
10,50,43.0,61.0,64.0,70.0,82.0,43.0,62.0,64.0,71.0,82.0,43.0,57.0,62.0,66.0,77.0,43.0,62.0,65.0,73.0,82.0,43.0,72.0,76.0,83.0,93.0,2504865.0,5364107.0,7688525.0,8290114.0,1.1300502E7,1460177.0,2.4124945E7,2.8728674E7,3.2398073E7,3.4447322E7,9253947.0,2.4273416E7,2.8561981E7,3.250455E7,6.0863148E7,1536243.0,3858568.0,2.5220867E7,3.4471277E7,8.5344463E7,347576.0,761135.0,1025952.0,1143350.0,1445478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,16.95,4.35,23.65,0.0,8.7,14.95,0.15,8.5,0.0,0.0,22.5,1.5,8.1,14.4,0.15,7.05,0.9,0.0
12,60,42.0,53.0,58.0,62.0,70.0,45.0,53.0,59.0,61.0,84.0,45.0,52.0,54.0,60.0,68.0,41.0,55.0,60.0,61.0,69.0,52.0,61.0,71.0,79.0,90.0,4442465.0,8125016.0,8676678.0,1.014462E7,1.4375767E7,2693992.0,7950189.0,2.9784199E7,3.2167168E7,6.1732928E7,1.8300252E7,3.4567896E7,4.4602146E7,5.841061E7,1.09932792E8,3412948.0,6802042.0,3.0015845E7,3.442619E7,6.9174444E7,563435.0,882607.0,1042852.0,1372043.0,2218592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,23.35,5.05,31.05,0.0,13.7,17.35,0.55,13.15,0.0,0.0,30.7,2.0,12.95,17.75,0.3,11.15,1.5,0.0
14,70,44.0,50.0,52.0,55.0,65.0,44.0,50.0,53.0,55.0,64.0,41.0,46.0,50.0,53.0,61.0,44.0,49.0,53.0,55.0,67.0,50.0,59.0,63.0,69.0,79.0,5936875.0,9456068.0,1.1786692E7,1.3365525E7,1.5229193E7,4707361.0,8935811.0,2.7154897E7,3.2301921E7,6.0093792E7,4.0614405E7,5.6880499E7,7.5196216E7,9.0224894E7,1.08322044E8,4755036.0,8999438.0,3.3797992E7,3.7675039E7,6.3237822E7,778603.0,955090.0,1069198.0,1262948.0,1751863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,27.4,4.8,34.95,0.0,14.1,20.85,0.1,14.0,0.0,0.0,33.7,1.9,14.3,19.4,0.3,12.5,1.5,0.0
16,80,39.0,45.0,47.0,52.0,57.0,41.0,44.0,48.0,51.0,57.0,40.0,42.0,45.0,48.0,51.0,39.0,45.0,48.0,50.0,57.0,45.0,53.0,57.0,63.0,75.0,1.0192505E7,1.3623969E7,1.6708661E7,2.0223538E7,3.0987309E7,6993822.0,1.1385223E7,2.5312281E7,3.6549638E7,4.4734384E7,6.1508253E7,9.241298E7,1.23010503E8,1.51869589E8,1.7441843E8,9885477.0,1.3692203E7,3.446012E7,3.579037E7,5.6180917E7,915311.0,1145142.0,1249663.0,1389569.0,2297153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,38.6,5.1,45.0,0.0,19.3,25.7,0.3,19.0,0.0,0.0,41.25,2.55,18.55,22.7,0.45,16.2,1.9,0.0
18,90,32.0,39.0,43.0,46.0,50.0,31.0,39.0,42.0,46.0,50.0,31.0,38.0,41.0,43.0,46.0,31.0,38.0,41.0,46.0,50.0,37.0,47.0,49.0,58.0,61.0,1.147668E7,1.7594376E7,2.0932407E7,2.4530808E7,3.0924236E7,9848060.0,2.9852916E7,3.6912319E7,4.0585617E7,5.8669233E7,7.2365784E7,1.20358344E8,1.50519892E8,1.82963079E8,2.75567205E8,1.1441446E7,3.3753828E7,3.6088312E7,4.1994832E7,4.9141039E7,1346231.0,1423055.0,1521375.0,1661255.0,1987191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,38.2,5.6,44.45,0.0,18.3,26.15,0.7,17.6,0.0,0.0,43.55,3.0,20.15,23.4,1.0,17.0,2.15,0.0
20,100,30.0,38.0,39.0,41.0,48.0,31.0,37.0,39.0,42.0,48.0,30.0,37.0,39.0,40.0,48.0,30.0,37.0,39.0,42.0,48.0,35.0,43.0,47.0,55.0,58.0,1.8226328E7,2.5615734E7,2.9940392E7,3.6750389E7,5.7820323E7,9271944.0,2.6253621E7,3.9476866E7,4.2263685E7,6.8138053E7,1.05440639E8,1.40658509E8,1.71811455E8,2.1881244E8,2.82805584E8,7903090.0,3.4042541E7,3.9868731E7,4.6579259E7,5.3064237E7,1550443.0,1680127.0,1915832.0,1987275.0,2536019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9,35.3,4.6,51.95,0.0,22.2,29.75,0.55,21.65,0.0,0.0,48.65,1.7,20.3,28.35,0.95,18.1,1.25,0.0
