m,n,minGiftSolvercmax,openGiftSolvercmax,meanGiftSolvercmax,closedGiftSolvercmax,maxGiftSolvercmax,minDistributedGiftSolvercmax,openDistributedGiftSolvercmax,meanDistributedGiftSolvercmax,closedDistributedGiftSolvercmax,maxDistributedGiftSolvercmax,minSwapSolvercmax,openSwapSolvercmax,meanSwapSolvercmax,closedSwapSolvercmax,maxSwapSolvercmax,minDistributedSwapSolvercmax,openDistributedSwapSolvercmax,meanDistributedSwapSolvercmax,closedDistributedSwapSolvercmax,maxDistributedSwapSolvercmax,minLpSolvercmax,openLpSolvercmax,meanLpSolvercmax,closedLpSolvercmax,maxLpSolvercmax,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
2,10,126.0,252.0,328.0,561.0,1106.0,126.0,252.0,328.0,561.0,1106.0,118.0,245.0,314.0,555.0,1072.0,126.0,252.0,328.0,561.0,1106.0,126.0,255.0,334.0,561.0,1106.0,334117.0,644106.0,740441.0,1534747.0,1.1366498E7,4199943.0,2.6287373E7,2.8535597E7,3.0780007E7,3.7073647E7,724056.0,1647891.0,2496407.0,3450580.0,7406267.0,1640673.0,4822826.0,2.424492E7,2.5698708E7,4.3347165E7,87269.0,132991.0,160194.0,273597.0,6240536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.55,1.15,2.7,0.0,0.5,2.2,0.0,0.5,0.0,0.0,2.75,0.4,0.5,2.25,0.0,0.5,0.0,0.0
4,20,221.0,395.0,608.0,748.0,1084.0,221.0,395.0,608.0,748.0,1084.0,197.0,352.0,593.0,717.0,1014.0,221.0,395.0,594.0,748.0,1064.0,221.0,395.0,608.0,798.0,1084.0,783252.0,1024994.0,1340434.0,2232193.0,3081566.0,1730348.0,2865438.0,2.7891955E7,3.028121E7,7.5406198E7,3227328.0,6556047.0,8337540.0,9853622.0,1.6410019E7,2247345.0,2.4324274E7,2.5821089E7,3.4314592E7,8.8752639E7,87412.0,180077.0,208543.0,291981.0,576090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,6.85,5.85,7.55,0.0,2.45,5.1,0.0,2.45,0.0,0.0,7.65,1.8,2.6,4.95,0.15,1.65,0.8,0.0
6,30,168.0,358.0,399.0,660.0,1003.0,168.0,357.0,399.0,660.0,1003.0,149.0,329.0,369.0,601.0,922.0,169.0,354.0,399.0,660.0,1003.0,183.0,375.0,399.0,696.0,1003.0,1618768.0,2319624.0,3370913.0,4243544.0,7164188.0,1442727.0,2421217.0,2.5687607E7,3.1165528E7,3.3558067E7,9960655.0,1.4689877E7,1.6005216E7,1.8603637E7,2.3724441E7,1459987.0,2621084.0,8501782.0,5.5119935E7,8.4149831E7,155669.0,300057.0,493076.0,547903.0,3900610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,14.45,11.75,13.25,0.0,4.75,8.5,0.0,4.75,0.0,0.0,11.65,2.4,4.35,7.3,0.1,2.9,1.35,0.0
8,40,179.0,256.0,418.0,544.0,780.0,173.0,251.0,401.0,544.0,780.0,155.0,222.0,373.0,493.0,732.0,179.0,251.0,418.0,538.0,780.0,183.0,274.0,427.0,616.0,803.0,1962169.0,3355884.0,5855909.0,7249783.0,8614292.0,2145674.0,3765833.0,2.8066232E7,3.2200171E7,5.7190493E7,2.2146866E7,2.8563973E7,3.1202488E7,3.5453185E7,4.5444191E7,1621700.0,5530725.0,2.4711255E7,3.2793266E7,9.0245926E7,237960.0,435011.0,714662.0,770157.0,1535152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,22.9,18.2,17.7,0.0,6.55,11.15,0.05,6.5,0.0,0.0,19.0,3.2,7.55,11.4,0.25,4.9,2.35,0.0
10,50,200.0,345.0,412.0,533.0,733.0,200.0,345.0,421.0,512.0,711.0,180.0,297.0,378.0,471.0,660.0,200.0,336.0,439.0,529.0,711.0,212.0,346.0,458.0,547.0,810.0,3870368.0,5768943.0,6249062.0,8735169.0,1.6999839E7,2396871.0,2.5266778E7,2.8605412E7,3.0132959E7,5.9440702E7,5.1508367E7,6.2993382E7,7.0781472E7,7.6070357E7,1.04407046E8,2754366.0,2.4487465E7,2.9199395E7,5.4735426E7,9.4944052E7,477141.0,660790.0,995585.0,1059440.0,1284796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,33.4,27.7,24.25,0.0,7.85,16.4,0.1,7.75,0.0,0.0,25.4,4.95,10.4,15.0,0.45,6.7,3.25,0.0
12,60,213.0,330.0,386.0,485.0,663.0,213.0,331.0,393.0,477.0,655.0,181.0,281.0,340.0,429.0,581.0,205.0,318.0,389.0,477.0,650.0,220.0,343.0,403.0,508.0,702.0,5199826.0,8058591.0,9413174.0,1.0373965E7,1.6218409E7,3381483.0,2.4739397E7,2.898517E7,3.4566916E7,6.1480371E7,5.5425942E7,7.8881229E7,9.5866768E7,1.14436151E8,1.28791715E8,3220612.0,2.4997673E7,3.7065546E7,6.3823122E7,1.22151582E8,541735.0,741859.0,1004287.0,1371631.0,1971002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,41.25,35.55,31.5,0.0,11.0,20.5,0.15,10.85,0.0,0.0,33.5,6.45,13.7,19.8,0.5,8.6,4.6,0.0
14,70,241.0,334.0,404.0,488.0,756.0,245.0,334.0,399.0,488.0,756.0,215.0,296.0,352.0,435.0,689.0,237.0,335.0,399.0,492.0,756.0,250.0,356.0,426.0,524.0,794.0,9015272.0,1.0446696E7,1.3337618E7,1.7021219E7,2.0601053E7,4992965.0,6814088.0,3.227675E7,3.5503124E7,7.2450647E7,1.10878039E8,1.26608084E8,1.44529997E8,1.59183207E8,1.76907262E8,5751261.0,1.9336672E7,3.1124362E7,6.0231357E7,1.22407431E8,765677.0,1004902.0,1085221.0,1182586.0,1430225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,49.15,43.75,36.75,0.0,12.55,24.2,0.0,12.55,0.0,0.0,39.35,6.75,17.65,21.7,0.55,12.0,5.1,0.0
16,80,221.0,368.0,416.0,483.0,610.0,223.0,368.0,420.0,483.0,610.0,189.0,310.0,362.0,418.0,557.0,218.0,368.0,413.0,472.0,610.0,237.0,386.0,458.0,519.0,627.0,1.0323824E7,1.3782042E7,1.734023E7,2.1208033E7,2.6494983E7,6779967.0,2.8859622E7,3.4574855E7,4.2291235E7,6.660025E7,1.45064966E8,1.90658149E8,2.31121832E8,2.50305806E8,2.84003797E8,5489319.0,3.3833871E7,4.6840218E7,7.2685317E7,1.2574044E8,1043061.0,1223008.0,1337844.0,1467497.0,1536973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,61.9,54.0,47.85,0.0,16.5,31.35,0.25,16.25,0.0,0.0,51.25,9.25,20.75,30.5,1.15,13.3,6.3,0.0
18,90,225.0,332.0,365.0,424.0,526.0,225.0,332.0,365.0,431.0,530.0,194.0,284.0,309.0,376.0,461.0,225.0,332.0,354.0,427.0,506.0,245.0,349.0,395.0,473.0,564.0,1.5083199E7,1.9929292E7,2.521953E7,2.9437572E7,3.1812018E7,1.0261858E7,3.0564128E7,3.9391738E7,4.3428863E7,4.7894271E7,1.97464496E8,2.78297151E8,3.22590985E8,3.53882138E8,5.3228509E8,1.7351244E7,3.5757094E7,4.3753334E7,7.2229928E7,2.16451428E8,1325024.0,1366460.0,1455894.0,1539290.0,1842418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,73.2,62.3,55.0,0.0,19.1,35.9,0.15,18.95,0.0,0.0,60.8,10.1,25.4,34.6,1.35,17.0,7.05,0.0
20,100,311.0,358.0,395.0,468.0,571.0,311.0,359.0,395.0,461.0,571.0,272.0,311.0,327.0,410.0,502.0,311.0,361.0,382.0,454.0,571.0,340.0,377.0,415.0,487.0,582.0,2.4161114E7,3.141001E7,3.341863E7,3.673307E7,4.859302E7,1.8611056E7,2.4084329E7,4.0687899E7,4.5970334E7,9.5349705E7,3.43497391E8,3.88388571E8,4.31572882E8,5.28999218E8,7.03594994E8,2.9597813E7,5.0852449E7,6.734278E7,7.7394421E7,9.9477426E7,1568664.0,1653926.0,1688098.0,1779888.0,2024782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,82.7,73.0,63.35,0.0,21.75,41.6,0.3,21.45,0.0,0.0,66.15,13.1,28.2,37.95,0.95,18.35,8.9,0.0
