m,n,minGiftSolverflowtime,openGiftSolverflowtime,meanGiftSolverflowtime,closedGiftSolverflowtime,maxGiftSolverflowtime,minDistributedGiftSolverflowtime,openDistributedGiftSolverflowtime,meanDistributedGiftSolverflowtime,closedDistributedGiftSolverflowtime,maxDistributedGiftSolverflowtime,minSwapSolverflowtime,openSwapSolverflowtime,meanSwapSolverflowtime,closedSwapSolverflowtime,maxSwapSolverflowtime,minDistributedSwapSolverflowtime,openDistributedSwapSolverflowtime,meanDistributedSwapSolverflowtime,closedDistributedSwapSolverflowtime,maxDistributedSwapSolverflowtime,minRefSolverflowtime,openRefSolverflowtime,meanRefSolverflowtime,closedRefSolverflowtime,maxRefSolverflowtime,minGiftSolverTime,openGiftSolverTime,meanGiftSolverTime,closedGiftSolverTime,maxGiftSolverTime,minDistributedGiftSolverTime,openDistributedGiftSolverTime,meanDistributedGiftSolverTime,closedDistributedGiftSolverTime,maxDistributedGiftSolverTime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedSwapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,minLpSolverPreTime,openLpSolverPreTime,meanLpSolverPreTime,closedSolverPreTime,maxLpSolverPreTime,minLpSolverPostTime,openLpSolverPostTime,meanLpSolverPostTime,closedLpSolverPostTime,maxLpSolverPostTime,gift4gift,gift4swap,swap4swap,nbPropose4gift,nbCounterPropose4gift,nbAccept4gift,nbReject4gift,nbWithdraw4gift,nbConfirmGift4gift,nbConfirmSwap4Swap,nbInform4gift,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
2,10,81.1,113.6,138.1,156.3,204.4,77.3,127.9,153.1,181.8,301.3,77.3,110.4,134.7,155.6,197.7,80.2,125.8,151.1,175.2,290.8,77.3,110.4,134.7,155.6,197.7,272086.0,843307.0,1115265.0,1418322.0,1.6212956E7,599001.0,5.2699626E7,8.4364547E7,1.47466406E8,2.42958878E8,1486198.0,5118943.0,6008233.0,7323347.0,2.4679734E7,534383.0,5781771.0,7.3030683E7,1.18413675E8,2.98425593E8,1.6490043E7,2.4262434E7,2.5575449E7,2.7883946E7,6.3554504E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.71,2.15,10.79,0.0,8.48,2.2,5.25,3.05,0.0,0.0,10.19,0.0,8.03,2.08,4.79,3.04,0.0,0.0
4,20,96.25,119.5,134.75,146.65,193.0,97.45,128.9,142.65,168.15,254.85,91.05,112.6,125.65,140.7,187.9,101.65,130.3,140.6,167.0,225.45,91.05,112.45,125.15,139.4,187.9,2605503.0,6572537.0,7846478.0,8708139.0,1.4102919E7,1085098.0,8.5481765E7,1.43605671E8,1.81491161E8,4.47088239E8,1.4195589E7,2.1775228E7,2.4299288E7,2.8116896E7,4.8209275E7,1418235.0,8.8288656E7,1.46178241E8,2.07883093E8,3.87562192E8,3.4331335E7,3.6665722E7,3.7532443E7,3.8833072E7,4.5777358E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,15.92,8.88,34.97,0.0,28.07,6.83,13.72,14.22,0.0,0.0,36.2,0.0,28.43,7.4,13.93,14.3,0.0,0.0
6,30,93.73333333333333,125.4,133.86666666666667,147.4,172.23333333333332,107.43333333333334,137.66666666666666,147.93333333333334,163.63333333333333,194.2,86.93333333333334,117.06666666666666,127.23333333333333,138.7,163.6,107.4,134.46666666666667,148.73333333333332,165.13333333333333,201.4,86.7,116.9,126.43333333333334,138.66666666666666,163.6,8670087.0,1.5664688E7,1.6787572E7,1.840948E7,2.6578072E7,2.6995195E7,1.16175191E8,1.51573387E8,2.13845802E8,5.9981754E8,4.604439E7,5.5466449E7,6.1158162E7,6.8093719E7,8.6547355E7,1702685.0,1.17866579E8,1.78429119E8,2.67132101E8,5.397539E8,6.9885443E7,9.2008797E7,9.5056271E7,9.8713543E7,1.1035496E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.84,28.6,16.16,61.29,0.0,47.93,13.11,22.36,25.45,0.0,0.0,66.46,0.0,51.07,15.18,24.7,26.16,0.0,0.0
8,40,87.65,121.45,133.125,141.7,181.425,89.5,132.775,146.025,163.45,212.8,84.175,114.8,124.75,134.4,172.45,95.35,132.575,149.3,163.55,225.55,83.775,113.9,124.125,134.1,172.225,1.2998411E7,2.3343691E7,2.5131851E7,2.6442746E7,3.1206336E7,2084587.0,1.53114294E8,2.64436849E8,3.27508159E8,5.35340803E8,9.6014238E7,1.1411947E8,1.20905887E8,1.28354543E8,1.57670488E8,3073048.0,1.47021728E8,2.34783036E8,3.26919688E8,5.09492326E8,1.46461815E8,1.56770041E8,1.59818857E8,1.63734178E8,2.01938282E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.76,40.93,23.85,102.16,0.0,76.25,25.6,39.27,36.74,0.0,0.0,102.56,0.0,76.44,25.81,38.37,37.85,0.0,0.0
10,50,93.62,120.64,128.48,137.92,163.94,105.56,131.08,144.0,154.78,181.74,88.34,113.12,121.54,130.18,154.8,96.42,133.4,143.8,156.66,183.98,87.68,112.3,121.24,129.9,153.86,2.5164639E7,3.3030458E7,3.5522275E7,3.7422255E7,4.8910671E7,5.710218E7,1.54574345E8,2.41547622E8,3.2527711E8,5.6481302E8,1.76043649E8,2.043562E8,2.16675181E8,2.32185316E8,2.83856126E8,2.7584754E7,1.77398131E8,2.38124498E8,3.25494859E8,6.27242236E8,2.56715654E8,2.6210598E8,2.65992748E8,2.73584374E8,3.14892736E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,55.02,31.4,129.14,0.0,95.15,33.75,47.23,47.71,0.0,0.0,128.77,0.0,96.38,31.9,48.4,47.78,0.0,0.0
12,60,105.43333333333334,121.28333333333333,126.43333333333334,134.76666666666668,153.78333333333333,109.95,129.65,140.25,150.7,180.18333333333334,98.23333333333333,113.45,118.33333333333333,126.55,144.93333333333334,111.31666666666666,129.16666666666666,141.63333333333333,153.31666666666666,177.48333333333332,97.56666666666666,112.05,117.85,125.76666666666667,143.85,3.7023086E7,4.7477692E7,5.0224344E7,5.3986433E7,6.8511981E7,3.3348326E7,2.07470896E8,2.9595414E8,3.62835041E8,5.94671495E8,2.92524815E8,3.31846243E8,3.50979934E8,3.68927931E8,4.29495721E8,6.7046429E7,2.04237091E8,2.67967007E8,3.26507267E8,5.67988002E8,4.13849743E8,4.25509945E8,4.34996E8,4.45726221E8,5.25453915E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.7,68.17,40.43,170.13,0.0,122.57,46.97,63.54,58.63,0.0,0.0,164.14,0.0,120.16,43.56,60.06,59.82,0.0,0.0
14,70,98.78571428571429,121.02857142857142,126.31428571428572,132.6,159.67142857142858,109.52857142857142,133.21428571428572,141.6,152.44285714285715,190.68571428571428,94.0,113.6,119.02857142857142,125.18571428571428,147.32857142857142,110.92857142857143,133.5,141.22857142857143,150.78571428571428,191.3,92.77142857142857,113.14285714285714,117.98571428571428,123.8,146.9857142857143,5.2557626E7,6.6038166E7,6.9899328E7,7.5308751E7,9.4234196E7,3.746601E7,2.08623576E8,2.45991639E8,3.60482935E8,6.63074885E8,4.12592086E8,4.9048135E8,5.22050895E8,5.54399016E8,6.49515208E8,7677941.0,2.04730225E8,2.51113589E8,3.34839673E8,6.32323022E8,6.48697155E8,6.66796937E8,6.77007059E8,6.93567589E8,8.83224892E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.74,81.36,48.78,191.82,0.0,141.57,49.87,70.91,70.37,0.0,0.0,191.37,0.0,139.57,51.34,69.43,69.87,0.0,0.0
16,80,103.5,119.575,127.2375,134.7625,154.2375,112.5125,131.925,141.2875,151.8,178.05,96.3625,112.9125,120.625,125.975,145.3125,114.4,131.925,141.35,153.175,176.025,95.0875,112.0,119.55,124.7375,144.3875,7.0244249E7,8.7427561E7,9.2415131E7,9.794471E7,1.10147471E8,6.0101864E7,2.0845162E8,2.76650147E8,3.65193024E8,6.38073153E8,5.99462271E8,7.03744408E8,7.35018827E8,7.68879451E8,8.77665397E8,8.9623934E7,2.14295642E8,2.78713052E8,3.68893557E8,6.90860843E8,1.007106987E9,1.082649839E9,1.109215876E9,1.129011509E9,1.311684303E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.68,95.47,57.07,220.21,0.0,161.37,58.48,80.19,80.97,0.0,0.0,232.55,0.0,167.35,64.61,86.05,80.96,0.0,0.0
18,90,104.65555555555555,119.31111111111112,126.92222222222222,131.9111111111111,159.56666666666666,119.4888888888889,134.14444444444445,140.51111111111112,150.6888888888889,197.51111111111112,98.58888888888889,111.53333333333333,119.53333333333333,124.9888888888889,151.3111111111111,117.56666666666666,131.61111111111111,140.95555555555555,149.0222222222222,179.74444444444444,97.86666666666666,110.62222222222222,118.3,123.76666666666667,150.26666666666668,9.1095968E7,1.03417793E8,1.09548219E8,1.21819718E8,1.65047819E8,6.108893E7,2.11716542E8,3.0144785E8,3.93914588E8,6.3486205E8,7.28704012E8,8.46230151E8,8.9854705E8,9.6680902E8,1.166657184E9,6.4943486E7,2.18729213E8,2.965066E8,3.66093285E8,5.68542532E8,1.532190715E9,1.574460211E9,1.606518756E9,1.643173089E9,1.929019692E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.84,107.82,66.1,259.33,0.0,186.54,72.52,94.12,92.21,0.0,0.0,253.72,0.0,184.54,68.76,92.46,91.81,0.0,0.0
20,100,105.67,119.26,128.44,133.92,154.88,116.96,135.49,142.96,152.26,179.04,98.89,112.02,120.2,125.72,145.73,120.35,135.96,143.43,151.65,170.76,98.21,111.04,119.33,124.4,144.54,1.13084542E8,1.32728703E8,1.40602399E8,1.51159516E8,1.74876773E8,1.26683591E8,2.4200261E8,3.28560596E8,3.98502254E8,6.64060896E8,9.61466154E8,1.118241002E9,1.164422976E9,1.218289949E9,1.479030905E9,1.00020176E8,2.1639836E8,3.0577366E8,3.69027123E8,5.24947075E8,2.186143983E9,2.286051911E9,2.386386027E9,2.488482277E9,2.87337563E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.68,122.59,74.91,298.07,0.0,212.88,84.97,109.56,103.07,0.0,0.0,289.05,0.0,209.12,79.78,105.56,103.35,0.0,0.0
22,110,104.21818181818182,117.93636363636364,125.95454545454545,133.9909090909091,150.1818181818182,114.92727272727272,130.64545454545456,140.21818181818182,149.6090909090909,182.3909090909091,97.24545454545455,111.56363636363636,118.98181818181818,126.2,142.6727272727273,110.16363636363636,131.86363636363637,143.14545454545456,152.28181818181818,181.54545454545453,96.15454545454546,110.52727272727273,117.81818181818181,125.15454545454546,141.4090909090909,1.42240831E8,1.68827759E8,1.78109035E8,1.89575179E8,2.46428441E8,1.25280867E8,2.52169352E8,3.05248629E8,4.07086699E8,6.96751721E8,1.296956975E9,1.422534356E9,1.478116031E9,1.54333602E9,1.727990063E9,8.8917618E7,2.53723225E8,3.18346662E8,3.99946322E8,6.39581928E8,2.928527149E9,3.075866876E9,3.160860906E9,3.298079243E9,3.893159454E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.6,136.06,83.34,332.22,0.0,235.44,96.51,121.47,113.72,0.0,0.0,329.31,0.0,234.48,94.17,120.57,113.54,0.0,0.0
