n,minSwapSolverflowtime,openSwapSolverflowtime,meanSwapSolverflowtime,closedSwapSolverflowtime,maxSwapSolverflowtime,minDistributedSwapSolverflowtime,openDistributedSwapSolverflowtime,meanDistributedSwapSolverflowtime,closedDistributedSwapSolverflowtime,maxDistributedSwapSolverflowtime,minLpSolverflowtime,openLpSolverflowtime,meanLpSolverflowtime,closedLpSolverflowtime,maxLpSolverflowtime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedswapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,swap4swap,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
2,109.0,499.0,751.0,1098.0,1208.0,267.0,751.0,842.0,1113.0,1477.0,109.0,499.0,731.0,908.0,1208.0,223466.0,425055.0,585567.0,1594040.0,5867041.0,2024210.0,2596247.0,3200702.0,2.6478357E7,4.0611393E7,91714.0,185257.0,260869.0,469558.0,1.4970512E7,0.25,1.35,0.0,0.0,1.35,0.0,0.0,0.0,0.0
4,566.0,1089.0,1192.0,1457.0,1836.0,1018.0,1960.0,2173.0,2590.0,3301.0,386.0,798.0,1030.0,1159.0,1467.0,431670.0,682726.0,991994.0,1341672.0,3599692.0,1050619.0,3366488.0,6153637.0,2.9582521E7,9.1204821E7,181438.0,293112.0,388958.0,617970.0,1245752.0,0.95,8.2,0.0,0.0,8.2,0.0,0.0,0.0,0.0
6,555.0,1406.0,1806.0,1974.0,2615.0,1772.0,2243.0,2962.0,3639.0,4822.0,555.0,1118.0,1317.0,1522.0,2283.0,955533.0,1442270.0,1822454.0,2329351.0,4394791.0,1781669.0,2611193.0,2.5115143E7,3.1181665E7,5.6677803E7,259025.0,488347.0,749912.0,1254040.0,1616328.0,1.95,16.8,0.0,0.0,16.8,0.0,0.0,0.0,0.0
8,1137.0,1521.0,1902.0,2028.0,2303.0,2066.0,4011.0,4267.0,4962.0,5523.0,715.0,1090.0,1156.0,1604.0,1702.0,838316.0,1869437.0,2277446.0,2712321.0,1.3370314E7,2772730.0,2.6703353E7,4.2175701E7,5.6923591E7,8.5561477E7,307623.0,487514.0,676483.0,882976.0,1210716.0,3.55,36.55,0.0,0.0,36.55,0.0,0.0,0.0,0.0
10,1537.0,1836.0,2099.0,2468.0,2833.0,2269.0,4774.0,5206.0,5522.0,6687.0,857.0,1222.0,1405.0,1564.0,1979.0,1444571.0,3011481.0,3203477.0,3552493.0,6119881.0,2256489.0,3.0566708E7,3.2738164E7,6.2363461E7,8.5866023E7,269400.0,728325.0,840296.0,996229.0,2249630.0,4.75,56.45,0.0,0.0,56.45,0.0,0.0,0.0,0.0
12,1627.0,1837.0,2291.0,2396.0,3076.0,4104.0,5269.0,6089.0,6366.0,7331.0,845.0,1089.0,1343.0,1490.0,2230.0,1343596.0,3485389.0,3738354.0,4057592.0,4848785.0,2665348.0,3.0390652E7,3.1091668E7,6.1280043E7,9.0559831E7,300720.0,608804.0,800833.0,1058698.0,1551286.0,6.2,74.9,0.0,0.0,74.9,0.0,0.0,0.0,0.0
14,1337.0,2134.0,2457.0,2721.0,3682.0,5223.0,6337.0,6776.0,7779.0,8948.0,910.0,1204.0,1359.0,1554.0,2207.0,2570974.0,4477783.0,5383992.0,6287390.0,6785289.0,3195831.0,2.9362766E7,5.9698191E7,8.696448E7,1.16356485E8,290399.0,689886.0,900521.0,1260497.0,1686806.0,7.95,106.25,0.0,0.0,106.25,0.0,0.0,0.0,0.0
16,1879.0,2445.0,2670.0,2929.0,3332.0,6721.0,8390.0,8871.0,9245.0,10601.0,899.0,1406.0,1620.0,1718.0,1979.0,5800872.0,6098843.0,6351002.0,7874509.0,9204669.0,2.7970131E7,5.7428229E7,8.3741538E7,1.13974365E8,2.07044995E8,555781.0,791220.0,904956.0,1070570.0,1475524.0,9.3,159.25,0.0,0.0,159.25,0.0,0.0,0.0,0.0
18,1982.0,2260.0,2576.0,3187.0,3358.0,7111.0,8542.0,8995.0,9862.0,10873.0,866.0,1334.0,1519.0,1655.0,1821.0,3217090.0,6842736.0,8108317.0,8929650.0,1.3276995E7,2.7215115E7,6.2857768E7,8.3852271E7,1.13419012E8,1.82054963E8,488060.0,914989.0,1032262.0,1166137.0,1498912.0,10.8,190.9,0.0,0.0,190.9,0.0,0.0,0.0,0.0
20,2255.0,2547.0,2745.0,3286.0,3739.0,6798.0,9582.0,10056.0,10712.0,11525.0,1164.0,1326.0,1610.0,1816.0,1922.0,5449393.0,7387873.0,8064891.0,8549552.0,9938358.0,3.4507998E7,6.4806111E7,9.0328538E7,1.12753191E8,1.5053887E8,724399.0,1022470.0,1337953.0,1471245.0,1840665.0,11.4,218.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0
